"Date";"ID";"Value"
"2020-06-01";"obj_30";"16,8300000000000"
"2020-06-02";"obj_30";NA
"2020-06-03";"obj_30";"16,8200000000000"
"2020-06-04";"obj_30";NA
"2020-06-05";"obj_30";NA
"2020-06-06";"obj_30";NA
"2020-06-07";"obj_30";NA
"2020-06-08";"obj_30";NA
"2020-06-09";"obj_30";"16,8000000000000"
"2020-06-10";"obj_30";NA
"2020-06-11";"obj_30";NA
"2020-06-12";"obj_30";"16,7900000000000"
"2020-06-13";"obj_30";NA
"2020-06-14";"obj_30";NA
"2020-06-15";"obj_30";NA
"2020-06-16";"obj_30";NA
"2020-06-17";"obj_30";"16,7500000000000"
"2020-06-18";"obj_30";NA
"2020-06-19";"obj_30";NA
"2020-06-20";"obj_30";NA
"2020-06-21";"obj_30";NA
"2020-06-22";"obj_30";"16,7275000000000"
"2020-06-23";"obj_30";NA
"2020-06-24";"obj_30";"16,7250000000000"
"2020-06-25";"obj_30";NA
"2020-06-26";"obj_30";"16,7400000000000"
"2020-06-27";"obj_30";NA
"2020-06-28";"obj_30";NA
"2020-06-29";"obj_30";"16,7600000000000"
"2020-06-30";"obj_30";NA
"2020-07-01";"obj_30";NA
"2020-07-02";"obj_30";"16,8100000000000"
"2020-07-03";"obj_30";NA
"2020-07-04";"obj_30";NA
"2020-07-05";"obj_30";NA
"2020-07-06";"obj_30";NA
"2020-07-07";"obj_30";NA
"2020-07-08";"obj_30";NA
"2020-07-09";"obj_30";NA
"2020-07-10";"obj_30";NA
"2020-07-11";"obj_30";NA
"2020-07-12";"obj_30";NA
"2020-07-13";"obj_30";NA
"2020-07-14";"obj_30";NA
"2020-07-15";"obj_30";NA
"2020-07-16";"obj_30";NA
"2020-07-17";"obj_30";NA
"2020-07-18";"obj_30";NA
"2020-07-19";"obj_30";NA
"2020-07-20";"obj_30";NA
"2020-07-21";"obj_30";NA
"2020-07-22";"obj_30";NA
"2020-07-23";"obj_30";NA
"2020-07-24";"obj_30";NA
"2020-07-25";"obj_30";NA
"2020-07-26";"obj_30";NA
"2020-07-27";"obj_30";NA
"2020-07-28";"obj_30";NA
"2020-07-29";"obj_30";NA
"2020-07-30";"obj_30";NA
"2020-07-31";"obj_30";NA
"2020-08-01";"obj_30";NA
"2020-08-02";"obj_30";NA
"2020-08-03";"obj_30";NA
"2020-08-04";"obj_30";NA
"2020-08-05";"obj_30";NA
"2020-08-06";"obj_30";NA
"2020-08-07";"obj_30";NA
"2020-08-08";"obj_30";NA
"2020-08-09";"obj_30";NA
"2020-08-10";"obj_30";NA
"2020-08-11";"obj_30";NA
"2020-08-12";"obj_30";NA
"2020-08-13";"obj_30";NA
"2020-08-14";"obj_30";NA
"2020-08-15";"obj_30";NA
"2020-08-16";"obj_30";NA
"2020-08-17";"obj_30";NA
"2020-08-18";"obj_30";NA
"2020-08-19";"obj_30";NA
"2020-08-20";"obj_30";NA
"2020-08-21";"obj_30";NA
"2020-08-22";"obj_30";NA
"2020-08-23";"obj_30";NA
"2020-08-24";"obj_30";NA
"2020-08-25";"obj_30";NA
"2020-08-26";"obj_30";NA
"2020-08-27";"obj_30";NA
"2020-08-28";"obj_30";NA
"2020-08-29";"obj_30";NA
"2020-08-30";"obj_30";NA
"2020-08-31";"obj_30";NA
"2020-09-01";"obj_30";NA
"2020-09-02";"obj_30";NA
"2020-09-03";"obj_30";NA
"2020-09-04";"obj_30";NA
"2020-09-05";"obj_30";NA
"2020-09-06";"obj_30";NA
"2020-09-07";"obj_30";NA
"2020-09-08";"obj_30";NA
"2020-09-09";"obj_30";NA
"2020-09-10";"obj_30";NA
"2020-09-11";"obj_30";NA
"2020-09-12";"obj_30";NA
"2020-09-13";"obj_30";NA
"2020-09-14";"obj_30";NA
"2020-09-15";"obj_30";NA
"2020-09-16";"obj_30";NA
"2020-09-17";"obj_30";NA
"2020-09-18";"obj_30";NA
"2020-09-19";"obj_30";NA
"2020-09-20";"obj_30";NA
"2020-09-21";"obj_30";NA
"2020-09-22";"obj_30";NA
"2020-09-23";"obj_30";NA
"2020-09-24";"obj_30";NA
"2020-09-25";"obj_30";NA
"2020-09-26";"obj_30";NA
"2020-09-27";"obj_30";NA
"2020-09-28";"obj_30";"17,2500000000000"
"2020-09-29";"obj_30";NA
"2020-09-30";"obj_30";NA
"2020-10-01";"obj_30";NA
"2020-10-02";"obj_30";NA
"2020-10-03";"obj_30";NA
"2020-10-04";"obj_30";NA
"2020-10-05";"obj_30";NA
"2020-10-06";"obj_30";"17,2100000000000"
"2020-10-07";"obj_30";NA
"2020-10-08";"obj_30";NA
"2020-10-09";"obj_30";NA
"2020-10-10";"obj_30";NA
"2020-10-11";"obj_30";NA
"2020-10-12";"obj_30";NA
"2020-10-13";"obj_30";"17,2200000000000"
"2020-10-14";"obj_30";NA
"2020-10-15";"obj_30";NA
"2020-10-16";"obj_30";NA
"2020-10-17";"obj_30";NA
"2020-10-18";"obj_30";NA
"2020-10-19";"obj_30";NA
"2020-10-20";"obj_30";NA
"2020-10-21";"obj_30";"17,2250000000000"
"2020-10-22";"obj_30";NA
"2020-10-23";"obj_30";NA
"2020-10-24";"obj_30";NA
"2020-10-25";"obj_30";NA
"2020-10-26";"obj_30";NA
"2020-10-27";"obj_30";"17,2300000000000"
"2020-10-28";"obj_30";NA
"2020-10-29";"obj_30";NA
"2020-10-30";"obj_30";NA
"2020-10-31";"obj_30";NA
"2020-11-01";"obj_30";NA
"2020-11-02";"obj_30";NA
"2020-11-03";"obj_30";"17,2100000000000"
"2020-11-04";"obj_30";NA
"2020-11-05";"obj_30";NA
"2020-11-06";"obj_30";NA
"2020-11-07";"obj_30";NA
"2020-11-08";"obj_30";NA
"2020-11-09";"obj_30";"17,1900000000000"
"2020-11-10";"obj_30";NA
"2020-11-11";"obj_30";NA
"2020-11-12";"obj_30";NA
"2020-11-13";"obj_30";NA
"2020-11-14";"obj_30";NA
"2020-11-15";"obj_30";NA
"2020-11-16";"obj_30";NA
"2020-11-17";"obj_30";NA
"2020-11-18";"obj_30";"17,1500000000000"
"2020-11-19";"obj_30";NA
"2020-11-20";"obj_30";NA
"2020-11-21";"obj_30";NA
"2020-11-22";"obj_30";NA
"2020-11-23";"obj_30";NA
"2020-11-24";"obj_30";NA
"2020-11-25";"obj_30";"17,1600000000000"
"2020-11-26";"obj_30";"17,1600000000000"
"2020-11-27";"obj_30";NA
"2020-11-28";"obj_30";NA
"2020-11-29";"obj_30";NA
"2020-11-30";"obj_30";NA
"2020-12-01";"obj_30";NA
"2020-12-02";"obj_30";NA
"2020-12-03";"obj_30";"17,1200000000000"
"2020-12-04";"obj_30";NA
"2020-12-05";"obj_30";NA
"2020-12-06";"obj_30";NA
"2020-12-07";"obj_30";"17,1100000000000"
"2020-12-08";"obj_30";NA
"2020-12-09";"obj_30";NA
"2020-12-10";"obj_30";NA
"2020-12-11";"obj_30";NA
"2020-12-12";"obj_30";NA
"2020-12-13";"obj_30";NA
"2020-12-14";"obj_30";"17,0950000000000"
"2020-12-15";"obj_30";"17,0900000000000"
"2020-12-16";"obj_30";NA
"2020-12-17";"obj_30";"17,0800000000000"
"2020-12-18";"obj_30";NA
"2020-12-19";"obj_30";NA
"2020-12-20";"obj_30";NA
"2020-12-21";"obj_30";NA
"2020-12-22";"obj_30";"17,1100000000000"
"2020-12-23";"obj_30";NA
"2020-12-24";"obj_30";NA
"2020-12-25";"obj_30";NA
"2020-12-26";"obj_30";NA
"2020-12-27";"obj_30";NA
"2020-12-28";"obj_30";"17,1200000000000"
"2020-12-29";"obj_30";NA
"2020-12-30";"obj_30";NA
"2020-12-31";"obj_30";NA
"2021-01-01";"obj_30";NA
"2021-01-02";"obj_30";NA
"2021-01-03";"obj_30";NA
"2021-01-04";"obj_30";"17,1300000000000"
"2021-01-05";"obj_30";NA
"2021-01-06";"obj_30";NA
"2021-01-07";"obj_30";NA
"2021-01-08";"obj_30";NA
"2021-01-09";"obj_30";NA
"2021-01-10";"obj_30";NA
"2021-01-11";"obj_30";NA
"2021-01-12";"obj_30";NA
"2021-01-13";"obj_30";"17,1300000000000"
"2021-01-14";"obj_30";NA
"2021-01-15";"obj_30";"17,1300000000000"
"2021-01-16";"obj_30";NA
"2021-01-17";"obj_30";NA
"2021-01-18";"obj_30";NA
"2021-01-19";"obj_30";"17,1200000000000"
"2021-01-20";"obj_30";NA
"2021-01-21";"obj_30";NA
"2021-01-22";"obj_30";NA
"2021-01-23";"obj_30";NA
"2021-01-24";"obj_30";NA
"2021-01-25";"obj_30";NA
"2021-01-26";"obj_30";"17,1600000000000"
"2021-01-27";"obj_30";NA
"2021-01-28";"obj_30";NA
"2021-01-29";"obj_30";NA
"2021-01-30";"obj_30";NA
"2021-01-31";"obj_30";NA
"2021-02-01";"obj_30";NA
"2021-02-02";"obj_30";NA
"2021-02-03";"obj_30";"17,0950000000000"
"2021-02-04";"obj_30";NA
"2021-02-05";"obj_30";NA
"2021-02-06";"obj_30";NA
"2021-02-07";"obj_30";NA
"2021-02-08";"obj_30";NA
"2021-02-09";"obj_30";"17,0400000000000"
"2021-02-10";"obj_30";NA
"2021-02-11";"obj_30";NA
"2021-02-12";"obj_30";NA
"2021-02-13";"obj_30";NA
"2021-02-14";"obj_30";NA
"2021-02-15";"obj_30";NA
"2021-02-16";"obj_30";NA
"2021-02-17";"obj_30";"16,9500000000000"
"2021-02-18";"obj_30";NA
"2021-02-19";"obj_30";NA
"2021-02-20";"obj_30";NA
"2021-02-21";"obj_30";NA
"2021-02-22";"obj_30";NA
"2021-02-23";"obj_30";"17,0900000000000"
"2021-02-24";"obj_30";NA
"2021-02-25";"obj_30";NA
"2021-02-26";"obj_30";NA
"2021-02-27";"obj_30";NA
"2021-02-28";"obj_30";NA
"2021-03-01";"obj_30";"16,9400000000000"
"2021-03-02";"obj_30";NA
"2021-03-03";"obj_30";NA
"2021-03-04";"obj_30";"16,9600000000000"
"2021-03-05";"obj_30";NA
"2021-03-06";"obj_30";NA
"2021-03-07";"obj_30";NA
"2021-03-08";"obj_30";NA
"2021-03-09";"obj_30";"16,9200000000000"
"2021-03-10";"obj_30";NA
"2021-03-11";"obj_30";NA
"2021-03-12";"obj_30";NA
"2021-03-13";"obj_30";NA
"2021-03-14";"obj_30";NA
"2021-03-15";"obj_30";NA
"2021-03-16";"obj_30";"16,9700000000000"
"2021-03-17";"obj_30";"16,9800000000000"
"2021-03-18";"obj_30";NA
"2021-03-19";"obj_30";NA
"2021-03-20";"obj_30";NA
"2021-03-21";"obj_30";NA
"2021-03-22";"obj_30";NA
"2021-03-23";"obj_30";"17,0100000000000"
"2021-03-24";"obj_30";NA
"2021-03-25";"obj_30";NA
"2021-03-26";"obj_30";NA
"2021-03-27";"obj_30";NA
"2021-03-28";"obj_30";NA
"2021-03-29";"obj_30";NA
"2021-03-30";"obj_30";"17,0200000000000"
"2021-03-31";"obj_30";NA
"2021-04-01";"obj_30";NA
"2021-04-02";"obj_30";NA
"2021-04-03";"obj_30";NA
"2021-04-04";"obj_30";NA
"2021-04-05";"obj_30";NA
"2021-04-06";"obj_30";"17,0200000000000"
"2021-04-07";"obj_30";NA
"2021-04-08";"obj_30";NA
"2021-04-09";"obj_30";NA
"2021-04-10";"obj_30";NA
"2021-04-11";"obj_30";NA
"2021-04-12";"obj_30";"17,0200000000000"
"2021-04-13";"obj_30";NA
"2021-04-14";"obj_30";NA
"2021-04-15";"obj_30";NA
"2021-04-16";"obj_30";NA
"2021-04-17";"obj_30";NA
"2021-04-18";"obj_30";NA
"2021-04-19";"obj_30";"16,9500000000000"
"2021-04-20";"obj_30";NA
"2021-04-21";"obj_30";NA
"2021-04-22";"obj_30";NA
"2021-04-23";"obj_30";"16,9400000000000"
"2021-04-24";"obj_30";NA
"2021-04-25";"obj_30";NA
"2021-04-26";"obj_30";"17,0100000000000"
"2021-04-27";"obj_30";NA
"2021-04-28";"obj_30";NA
"2021-04-29";"obj_30";NA
"2021-04-30";"obj_30";NA
"2021-05-01";"obj_30";NA
"2021-05-02";"obj_30";NA
"2021-05-03";"obj_30";NA
"2021-05-04";"obj_30";NA
"2021-05-05";"obj_30";"16,9000000000000"
"2021-05-06";"obj_30";NA
"2021-05-07";"obj_30";NA
"2021-05-08";"obj_30";NA
"2021-05-09";"obj_30";NA
"2021-05-10";"obj_30";NA
"2021-05-11";"obj_30";NA
"2021-05-12";"obj_30";NA
"2021-05-13";"obj_30";NA
"2021-05-14";"obj_30";NA
"2021-05-15";"obj_30";NA
"2021-05-16";"obj_30";NA
"2021-05-17";"obj_30";NA
"2021-05-18";"obj_30";NA
"2021-05-19";"obj_30";NA
"2021-05-20";"obj_30";NA
"2021-05-21";"obj_30";NA
"2021-05-22";"obj_30";NA
"2021-05-23";"obj_30";NA
"2021-05-24";"obj_30";NA
"2021-05-25";"obj_30";NA
"2021-05-26";"obj_30";NA
"2021-05-27";"obj_30";NA
"2021-05-28";"obj_30";NA
"2021-05-29";"obj_30";NA
"2021-05-30";"obj_30";NA
"2021-05-31";"obj_30";NA
"2021-06-01";"obj_30";NA
"2021-06-02";"obj_30";NA
"2021-06-03";"obj_30";NA
"2021-06-04";"obj_30";NA
"2021-06-05";"obj_30";NA
"2021-06-06";"obj_30";NA
"2021-06-07";"obj_30";NA
"2021-06-08";"obj_30";NA
"2021-06-09";"obj_30";NA
"2021-06-10";"obj_30";NA
"2021-06-11";"obj_30";NA
"2021-06-12";"obj_30";NA
"2021-06-13";"obj_30";NA
"2021-06-14";"obj_30";NA
"2021-06-15";"obj_30";NA
"2021-06-16";"obj_30";NA
"2021-06-17";"obj_30";NA
"2021-06-18";"obj_30";"16,8600000000000"
"2021-06-19";"obj_30";NA
"2021-06-20";"obj_30";NA
"2021-06-21";"obj_30";NA
"2021-06-22";"obj_30";NA
"2021-06-23";"obj_30";NA
"2021-06-24";"obj_30";NA
"2021-06-25";"obj_30";NA
"2021-06-26";"obj_30";NA
"2021-06-27";"obj_30";NA
"2021-06-28";"obj_30";NA
"2021-06-29";"obj_30";NA
"2021-06-30";"obj_30";NA
"2021-07-01";"obj_30";NA
"2021-07-02";"obj_30";NA
"2021-07-03";"obj_30";NA
"2021-07-04";"obj_30";NA
"2021-07-05";"obj_30";NA
"2021-07-06";"obj_30";"16,6800000000000"
"2021-07-07";"obj_30";NA
"2021-07-08";"obj_30";NA
"2021-07-09";"obj_30";NA
"2021-07-10";"obj_30";NA
"2021-07-11";"obj_30";NA
"2021-07-12";"obj_30";NA
"2021-07-13";"obj_30";NA
"2021-07-14";"obj_30";NA
"2021-07-15";"obj_30";NA
"2021-07-16";"obj_30";NA
"2021-07-17";"obj_30";NA
"2021-07-18";"obj_30";NA
"2021-07-19";"obj_30";NA
"2021-07-20";"obj_30";NA
"2021-07-21";"obj_30";NA
"2021-07-22";"obj_30";NA
"2021-07-23";"obj_30";NA
"2021-07-24";"obj_30";NA
"2021-07-25";"obj_30";NA
"2021-07-26";"obj_30";NA
"2021-07-27";"obj_30";NA
"2021-07-28";"obj_30";NA
"2021-07-29";"obj_30";NA
"2021-07-30";"obj_30";NA
"2021-07-31";"obj_30";NA
"2021-08-01";"obj_30";NA
"2021-08-02";"obj_30";NA
"2021-08-03";"obj_30";NA
"2021-08-04";"obj_30";NA
"2021-08-05";"obj_30";NA
"2021-08-06";"obj_30";"16,4900000000000"
"2021-08-07";"obj_30";NA
"2021-08-08";"obj_30";NA
"2021-08-09";"obj_30";NA
"2021-08-10";"obj_30";NA
"2021-08-11";"obj_30";NA
"2021-08-12";"obj_30";NA
"2021-08-13";"obj_30";NA
"2021-08-14";"obj_30";NA
"2021-08-15";"obj_30";NA
"2021-08-16";"obj_30";NA
"2021-08-17";"obj_30";NA
"2021-08-18";"obj_30";NA
"2021-08-19";"obj_30";NA
"2021-08-20";"obj_30";NA
"2021-08-21";"obj_30";NA
"2021-08-22";"obj_30";NA
"2021-08-23";"obj_30";NA
"2021-08-24";"obj_30";NA
"2021-08-25";"obj_30";NA
"2021-08-26";"obj_30";NA
"2021-08-27";"obj_30";NA
"2021-08-28";"obj_30";NA
"2021-08-29";"obj_30";NA
"2021-08-30";"obj_30";NA
"2021-08-31";"obj_30";NA
"2021-09-01";"obj_30";NA
"2021-09-02";"obj_30";NA
"2021-09-03";"obj_30";NA
"2021-09-04";"obj_30";NA
"2021-09-05";"obj_30";NA
"2021-09-06";"obj_30";NA
"2021-09-07";"obj_30";NA
"2021-09-08";"obj_30";"16,4500000000000"
"2021-09-09";"obj_30";NA
"2021-09-10";"obj_30";NA
"2021-09-11";"obj_30";NA
"2021-09-12";"obj_30";NA
"2021-09-13";"obj_30";NA
"2021-09-14";"obj_30";NA
"2021-09-15";"obj_30";NA
"2021-09-16";"obj_30";NA
"2021-09-17";"obj_30";NA
"2021-09-18";"obj_30";NA
"2021-09-19";"obj_30";NA
"2021-09-20";"obj_30";"16,4300000000000"
"2021-09-21";"obj_30";NA
"2021-09-22";"obj_30";NA
"2021-09-23";"obj_30";NA
"2021-09-24";"obj_30";NA
"2021-09-25";"obj_30";NA
"2021-09-26";"obj_30";NA
"2021-09-27";"obj_30";NA
"2021-09-28";"obj_30";NA
"2021-09-29";"obj_30";"16,7400000000000"
"2021-09-30";"obj_30";NA
"2021-10-01";"obj_30";NA
"2021-10-02";"obj_30";NA
"2021-10-03";"obj_30";NA
"2021-10-04";"obj_30";"16,7900000000000"
"2021-10-05";"obj_30";NA
"2021-10-06";"obj_30";NA
"2021-10-07";"obj_30";NA
"2021-10-08";"obj_30";NA
"2021-10-09";"obj_30";NA
"2021-10-10";"obj_30";NA
"2021-10-11";"obj_30";"17,7000000000000"
"2021-10-12";"obj_30";NA
"2021-10-13";"obj_30";NA
"2021-10-14";"obj_30";NA
"2021-10-15";"obj_30";NA
"2021-10-16";"obj_30";NA
"2021-10-17";"obj_30";NA
"2021-10-18";"obj_30";"16,9800000000000"
"2021-10-19";"obj_30";NA
"2021-10-20";"obj_30";"16,9700000000000"
"2021-10-21";"obj_30";NA
"2021-10-22";"obj_30";NA
"2021-10-23";"obj_30";NA
"2021-10-24";"obj_30";NA
"2021-10-25";"obj_30";"16,9400000000000"
"2021-10-26";"obj_30";NA
"2021-10-27";"obj_30";NA
"2021-10-28";"obj_30";NA
"2021-10-29";"obj_30";NA
"2021-10-30";"obj_30";NA
"2021-10-31";"obj_30";NA
"2021-11-01";"obj_30";"16,9600000000000"
"2021-11-02";"obj_30";NA
"2021-11-03";"obj_30";NA
"2021-11-04";"obj_30";NA
"2021-11-05";"obj_30";NA
"2021-11-06";"obj_30";NA
"2021-11-07";"obj_30";NA
"2021-11-08";"obj_30";"16,9600000000000"
"2021-11-09";"obj_30";NA
"2021-11-10";"obj_30";NA
"2021-11-11";"obj_30";NA
"2021-11-12";"obj_30";NA
"2021-11-13";"obj_30";NA
"2021-11-14";"obj_30";NA
"2021-11-15";"obj_30";NA
"2021-11-16";"obj_30";"16,9600000000000"
"2021-11-17";"obj_30";NA
"2021-11-18";"obj_30";NA
"2021-11-19";"obj_30";NA
"2021-11-20";"obj_30";NA
"2021-11-21";"obj_30";NA
"2021-11-22";"obj_30";NA
"2021-11-23";"obj_30";NA
"2021-11-24";"obj_30";"16,9900000000000"
"2021-11-25";"obj_30";NA
"2021-11-26";"obj_30";NA
"2021-11-27";"obj_30";NA
"2021-11-28";"obj_30";NA
"2021-11-29";"obj_30";"16,9900000000000"
"2021-11-30";"obj_30";NA
"2021-12-01";"obj_30";NA
"2021-12-02";"obj_30";NA
"2021-12-03";"obj_30";NA
"2021-12-04";"obj_30";NA
"2021-12-05";"obj_30";NA
"2021-12-06";"obj_30";NA
"2021-12-07";"obj_30";NA
"2021-12-08";"obj_30";NA
"2021-12-09";"obj_30";NA
"2021-12-10";"obj_30";NA
"2021-12-11";"obj_30";NA
"2021-12-12";"obj_30";NA
"2021-12-13";"obj_30";"16,9600000000000"
"2021-12-14";"obj_30";NA
"2021-12-15";"obj_30";NA
"2021-12-16";"obj_30";NA
"2021-12-17";"obj_30";NA
"2021-12-18";"obj_30";NA
"2021-12-19";"obj_30";NA
"2021-12-20";"obj_30";NA
"2021-12-21";"obj_30";NA
"2021-12-22";"obj_30";NA
"2021-12-23";"obj_30";NA
"2021-12-24";"obj_30";NA
"2021-12-25";"obj_30";NA
"2021-12-26";"obj_30";NA
"2021-12-27";"obj_30";NA
"2021-12-28";"obj_30";NA
"2021-12-29";"obj_30";NA
"2021-12-30";"obj_30";NA
"2021-12-31";"obj_30";NA
"2022-01-01";"obj_30";NA
"2022-01-02";"obj_30";NA
"2022-01-03";"obj_30";NA
"2022-01-04";"obj_30";NA
"2022-01-05";"obj_30";NA
"2022-01-06";"obj_30";NA
"2022-01-07";"obj_30";NA
"2022-01-08";"obj_30";NA
"2022-01-09";"obj_30";NA
"2022-01-10";"obj_30";NA
"2022-01-11";"obj_30";NA
"2022-01-12";"obj_30";NA
"2022-01-13";"obj_30";NA
"2022-01-14";"obj_30";NA
"2022-01-15";"obj_30";NA
"2022-01-16";"obj_30";NA
"2022-01-17";"obj_30";NA
"2022-01-18";"obj_30";NA
"2022-01-19";"obj_30";NA
"2022-01-20";"obj_30";NA
"2022-01-21";"obj_30";NA
"2022-01-22";"obj_30";NA
"2022-01-23";"obj_30";NA
"2022-01-24";"obj_30";NA
"2022-01-25";"obj_30";NA
"2022-01-26";"obj_30";NA
"2022-01-27";"obj_30";"16,9700000000000"
"2022-01-28";"obj_30";NA
"2022-01-29";"obj_30";NA
"2022-01-30";"obj_30";NA
"2022-01-31";"obj_30";NA
"2022-02-01";"obj_30";NA
"2022-02-02";"obj_30";NA
"2022-02-03";"obj_30";NA
"2022-02-04";"obj_30";NA
"2022-02-05";"obj_30";NA
"2022-02-06";"obj_30";NA
"2022-02-07";"obj_30";NA
"2022-02-08";"obj_30";NA
"2022-02-09";"obj_30";NA
"2022-02-10";"obj_30";"16,9700000000000"
"2022-02-11";"obj_30";NA
"2022-02-12";"obj_30";NA
"2022-02-13";"obj_30";NA
"2022-02-14";"obj_30";NA
"2022-02-15";"obj_30";NA
"2022-02-16";"obj_30";NA
"2022-02-17";"obj_30";NA
"2022-02-18";"obj_30";NA
"2022-02-19";"obj_30";NA
"2022-02-20";"obj_30";NA
"2022-02-21";"obj_30";NA
"2022-02-22";"obj_30";NA
"2022-02-23";"obj_30";NA
"2022-02-24";"obj_30";NA
"2022-02-25";"obj_30";NA
"2022-02-26";"obj_30";NA
"2022-02-27";"obj_30";NA
"2022-02-28";"obj_30";NA
"2022-03-01";"obj_30";NA
"2022-03-02";"obj_30";NA
"2022-03-03";"obj_30";NA
"2022-03-04";"obj_30";"17,0500000000000"
"2022-03-05";"obj_30";NA
"2022-03-06";"obj_30";NA
"2022-03-07";"obj_30";NA
"2022-03-08";"obj_30";NA
"2022-03-09";"obj_30";NA
"2022-03-10";"obj_30";NA
"2022-03-11";"obj_30";NA
"2022-03-12";"obj_30";NA
"2022-03-13";"obj_30";NA
"2022-03-14";"obj_30";NA
"2022-03-15";"obj_30";NA
"2022-03-16";"obj_30";NA
"2022-03-17";"obj_30";NA
"2022-03-18";"obj_30";NA
"2022-03-19";"obj_30";NA
"2022-03-20";"obj_30";NA
"2022-03-21";"obj_30";NA
"2022-03-22";"obj_30";NA
"2022-03-23";"obj_30";NA
"2022-03-24";"obj_30";NA
"2022-03-25";"obj_30";NA
"2022-03-26";"obj_30";NA
"2022-03-27";"obj_30";NA
"2022-03-28";"obj_30";NA
"2022-03-29";"obj_30";NA
"2022-03-30";"obj_30";NA
"2022-03-31";"obj_30";NA
"2022-04-01";"obj_30";NA
"2022-04-02";"obj_30";NA
"2022-04-03";"obj_30";NA
"2022-04-04";"obj_30";NA
"2022-04-05";"obj_30";NA
"2022-04-06";"obj_30";NA
"2022-04-07";"obj_30";"16,8300000000000"
"2022-04-08";"obj_30";NA
"2022-04-09";"obj_30";NA
"2022-04-10";"obj_30";NA
"2022-04-11";"obj_30";NA
"2022-04-12";"obj_30";NA
"2022-04-13";"obj_30";NA
"2022-04-14";"obj_30";"16,9700000000000"
"2022-04-15";"obj_30";NA
"2022-04-16";"obj_30";NA
"2022-04-17";"obj_30";NA
"2022-04-18";"obj_30";NA
"2022-04-19";"obj_30";NA
"2022-04-20";"obj_30";NA
"2022-04-21";"obj_30";NA
"2022-04-22";"obj_30";NA
"2022-04-23";"obj_30";NA
"2022-04-24";"obj_30";NA
"2022-04-25";"obj_30";NA
"2022-04-26";"obj_30";NA
"2022-04-27";"obj_30";NA
"2022-04-28";"obj_30";NA
"2022-04-29";"obj_30";NA
"2022-04-30";"obj_30";NA
"2022-05-01";"obj_30";NA
"2022-05-02";"obj_30";NA
"2022-05-03";"obj_30";NA
"2022-05-04";"obj_30";NA
"2022-05-05";"obj_30";NA
"2022-05-06";"obj_30";"17,0400000000000"
"2022-05-07";"obj_30";NA
"2022-05-08";"obj_30";NA
"2022-05-09";"obj_30";NA
"2022-05-10";"obj_30";NA
"2022-05-11";"obj_30";NA
"2022-05-12";"obj_30";NA
"2022-05-13";"obj_30";NA
"2022-05-14";"obj_30";NA
"2022-05-15";"obj_30";NA
"2022-05-16";"obj_30";NA
"2022-05-17";"obj_30";NA
"2022-05-18";"obj_30";NA
"2022-05-19";"obj_30";NA
"2022-05-20";"obj_30";NA
"2022-05-21";"obj_30";NA
"2022-05-22";"obj_30";NA
"2022-05-23";"obj_30";NA
"2022-05-24";"obj_30";NA
"2022-05-25";"obj_30";NA
"2022-05-26";"obj_30";NA
"2022-05-27";"obj_30";NA
"2022-05-28";"obj_30";NA
"2022-05-29";"obj_30";NA
"2022-05-30";"obj_30";NA
"2022-05-31";"obj_30";NA
"2022-06-01";"obj_30";NA
"2022-06-02";"obj_30";NA
"2022-06-03";"obj_30";NA
"2022-06-04";"obj_30";NA
"2022-06-05";"obj_30";NA
"2022-06-06";"obj_30";NA
"2022-06-07";"obj_30";NA
"2022-06-08";"obj_30";NA
"2022-06-09";"obj_30";NA
"2022-06-10";"obj_30";NA
"2022-06-11";"obj_30";NA
"2022-06-12";"obj_30";NA
"2022-06-13";"obj_30";"16,9900000000000"
"2022-06-14";"obj_30";NA
"2022-06-15";"obj_30";NA
"2022-06-16";"obj_30";NA
"2022-06-17";"obj_30";NA
"2022-06-18";"obj_30";NA
"2022-06-19";"obj_30";NA
"2022-06-20";"obj_30";NA
"2022-06-21";"obj_30";NA
"2022-06-22";"obj_30";NA
"2022-06-23";"obj_30";NA
"2022-06-24";"obj_30";NA
"2022-06-25";"obj_30";NA
"2022-06-26";"obj_30";NA
"2022-06-27";"obj_30";NA
"2022-06-28";"obj_30";NA
"2022-06-29";"obj_30";NA
"2022-06-30";"obj_30";NA
"2022-07-01";"obj_30";NA
"2022-07-02";"obj_30";NA
"2022-07-03";"obj_30";NA
"2022-07-04";"obj_30";NA
"2022-07-05";"obj_30";"17,3200000000000"
"2022-07-06";"obj_30";NA
"2022-07-07";"obj_30";NA
"2022-07-08";"obj_30";NA
"2022-07-09";"obj_30";NA
"2022-07-10";"obj_30";NA
"2022-07-11";"obj_30";NA
"2022-07-12";"obj_30";NA
"2022-07-13";"obj_30";NA
"2022-07-14";"obj_30";NA
"2022-07-15";"obj_30";NA
"2022-07-16";"obj_30";NA
"2022-07-17";"obj_30";NA
"2022-07-18";"obj_30";NA
"2022-07-19";"obj_30";NA
"2022-07-20";"obj_30";NA
"2022-07-21";"obj_30";NA
"2022-07-22";"obj_30";NA
"2022-07-23";"obj_30";NA
"2022-07-24";"obj_30";NA
"2022-07-25";"obj_30";NA
"2022-07-26";"obj_30";NA
"2022-07-27";"obj_30";NA
"2022-07-28";"obj_30";NA
"2022-07-29";"obj_30";NA
"2022-07-30";"obj_30";NA
"2022-07-31";"obj_30";NA
"2022-08-01";"obj_30";NA
